Log_ID;Log_Date;Log_Level;Log_Source;User;Controller;Action;Log_Message;Exception
10998063;2026-05-07 23:48:00.277;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998062;2026-05-07 23:48:00.273;ERROR;BizSMS.Helpers.Logger;;ows;Login;The controller for path '/ows' was not found or does not implement IController.;
10998061;2026-05-07 23:47:59.060;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998060;2026-05-07 23:47:59.060;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998059;2026-05-07 23:47:59.057;ERROR;BizSMS.Helpers.Logger;;wfs;Login;The controller for path '/wfs' was not found or does not implement IController.;
10998058;2026-05-07 23:47:56.360;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998057;2026-05-07 23:47:55.067;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998056;2026-05-07 23:47:55.063;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998055;2026-05-07 23:47:55.057;ERROR;BizSMS.Helpers.Logger;;en-US;login;The controller for path '/en-US/login' was not found or does not implement IController.;
10998054;2026-05-07 23:47:51.623;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998053;2026-05-07 23:47:48.303;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998052;2026-05-07 23:47:48.297;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998051;2026-05-07 23:47:48.290;ERROR;BizSMS.Helpers.Logger;;geoserver;ows;The controller for path '/geoserver/ows' was not found or does not implement IController.;
10998050;2026-05-07 23:47:44.180;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998049;2026-05-07 23:47:40.097;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998048;2026-05-07 23:47:40.083;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998047;2026-05-07 23:47:40.080;ERROR;BizSMS.Helpers.Logger;;geoserver;wfs;The controller for path '/geoserver/wfs' was not found or does not implement IController.;
10998046;2026-05-07 23:46:34.827;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998045;2026-05-07 23:45:50.543;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998044;2026-05-07 23:45:01.000;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998043;2026-05-07 23:45:01.000;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998042;2026-05-07 23:45:00.997;ERROR;BizSMS.Helpers.Logger;;user_login_submit;Login;The controller for path '/user_login_submit' was not found or does not implement IController.;
10998041;2026-05-07 23:44:59.100;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998040;2026-05-07 23:44:59.100;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998039;2026-05-07 23:44:59.100;ERROR;BizSMS.Helpers.Logger;;welcome;Login;The controller for path '/welcome' was not found or does not implement IController.;
10998038;2026-05-07 23:44:46.303;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998037;2026-05-07 23:44:46.300;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998036;2026-05-07 23:44:46.297;ERROR;BizSMS.Helpers.Logger;; ; ;The file '/apriso/portal/kiosk/querylogin.aspx' does not exist.;
10998035;2026-05-07 23:43:29.113;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998034;2026-05-07 23:43:15.797;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998033;2026-05-07 23:43:08.110;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998032;2026-05-07 23:40:02.100;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998031;2026-05-07 23:40:02.097;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998030;2026-05-07 23:40:02.093;ERROR;BizSMS.Helpers.Logger;;_sql;Login;The controller for path '/_sql' was not found or does not implement IController.;
10998029;2026-05-07 23:39:49.400;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998028;2026-05-07 23:39:49.393;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998027;2026-05-07 23:39:49.397;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998026;2026-05-07 23:39:49.393;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998025;2026-05-07 23:39:49.390;ERROR;BizSMS.Helpers.Logger;;goform;AccessControl;The controller for path '/goform/AccessControl' was not found or does not implement IController.;
10998024;2026-05-07 23:39:49.390;ERROR;BizSMS.Helpers.Logger;;api;users;The controller for path '/api/users' was not found or does not implement IController.;
10998023;2026-05-07 23:39:49.003;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998022;2026-05-07 23:39:43.580;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998021;2026-05-07 23:39:42.173;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998020;2026-05-07 23:37:46.263;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998019;2026-05-07 23:37:44.223;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998018;2026-05-07 23:37:44.220;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998017;2026-05-07 23:37:44.217;ERROR;BizSMS.Helpers.Logger;;login;Login;The controller for path '/login' was not found or does not implement IController.;
10998016;2026-05-07 23:37:42.010;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998015;2026-05-07 23:37:42.003;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998014;2026-05-07 23:37:42.003;ERROR;BizSMS.Helpers.Logger;;task;submit;The controller for path '/task/submit/' was not found or does not implement IController.;
10998013;2026-05-07 23:37:18.447;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998012;2026-05-07 23:36:44.240;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998011;2026-05-07 23:36:44.240;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998010;2026-05-07 23:36:44.230;ERROR;BizSMS.Helpers.Logger;;queue;data;The controller for path '/queue/data' was not found or does not implement IController.;
10998009;2026-05-07 23:36:10.667;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998008;2026-05-07 23:36:05.223;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998007;2026-05-07 23:36:04.987;ERROR;BizSMS.Helpers.Logger;;Error;Http400;Not Found;
10998006;2026-05-07 23:36:04.987;INFO;BizSMS.Helpers.Logger;;Error;Http400;Default logging;
10998005;2026-05-07 23:36:04.983;ERROR;BizSMS.Helpers.Logger;;file=><html;Login;A potentially dangerous Request.Path value was detected from the client (>).;
10998004;2026-05-07 23:36:02.483;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998003;2026-05-07 23:36:02.483;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998002;2026-05-07 23:36:02.480;ERROR;BizSMS.Helpers.Logger;;file=-;W3C;The controller for path '/file=-/W3C/DTD' was not found or does not implement IController.;
10998001;2026-05-07 23:35:52.287;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998000;2026-05-07 23:35:05.447;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997999;2026-05-07 23:34:50.880;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997998;2026-05-07 23:34:41.057;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997997;2026-05-07 23:34:14.030;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997996;2026-05-07 23:34:01.440;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997995;2026-05-07 23:33:48.387;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997994;2026-05-07 23:33:33.187;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10997993;2026-05-07 23:32:41.050;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
